robot,layout,task,init_robot_base_pos,init_robot_base_ori,object_init_offset
DoublePiper-Abs,robocasakitchen-61-5,PlaceTableware,"[2.37, -2, 0.72]","[0.70710678, 0.0, 0.0, -0.70710678]","[0.0, 0.2]"
DoublePiper-Abs,robocasakitchen-61-5,BowlAndPlate2Dishrack,"[2.37, -2, 0.72]","[0.70710678, 0.0, 0.0, -0.70710678]","[0.0, 0.1]"
DoublePiper-Abs,robocasakitchen-61-5,CleanTableware,"[2.37, -2, 0.72]","[0.70710678, 0.0, 0.0, -0.70710678]","[0.0, 0.1]"
DoublePiper-Abs,robocasakitchen-61-5,CleanFoodWaste,"[2.37, -2, 0.72]","[0.70710678, 0.0, 0.0, -0.70710678]","[0.0, 0.1]"
DoublePiper-Abs,robocasakitchen-61-5,CleanServiette,"[2.37, -2, 0.72]","[0.70710678, 0.0, 0.0, -0.70710678]","[0.0, 0.1]"
DoublePiper-Abs,robocasakitchen-61-5,ArrangeTableware,"[2.37, -2, 0.72]","[0.70710678, 0.0, 0.0, -0.70710678]","[0.0, 0.1]"
DoublePiper-Abs,robocasakitchen-62-5,OfficeWritingToolCleanup,"[2.37, -2.03, 0.72]","[0.70710678, 0.0, 0.0, -0.70710678]","[0.0, 0.1]"
DoublePiper-Abs,robocasakitchen-62-5,OfficeCupCleanup,"[2.37, -2.03, 0.72]","[0.70710678, 0.0, 0.0, -0.70710678]","[0.0, 0.1]"
DoublePiper-Abs,robocasakitchen-62-5,OfficeKeyboardCleanup,"[2.37, -2.03, 0.72]","[0.70710678, 0.0, 0.0, -0.70710678]","[0.0, 0.2]"
DoublePiper-Abs,robocasakitchen-62-5,PrepareForMeeting,"[2.37, -2.03, 0.72]","[0.70710678, 0.0, 0.0, -0.70710678]","[0.0, 0.0]"
X7S-Abs,robocasakitchen-61-5,PlaceTableware,"None","None","[0.0, 0.0]"
X7S-Abs,robocasakitchen-61-5,BowlAndPlate2Dishrack,"None","None","[0.0, -0.1]"
X7S-Abs,robocasakitchen-61-5,CleanTableware,"None","None","[0.0, 0.1]"
X7S-Abs,robocasakitchen-61-5,CleanFoodWaste,"None","None","[0.0, 0.1]"
X7S-Abs,robocasakitchen-61-5,CleanServiette,"None","None","[0.0, 0.1]"
X7S-Abs,robocasakitchen-61-5,ArrangeTableware,"None","None","[0.0, 0.1]"
X7S-Abs,robocasakitchen-62-5,OfficeWritingToolCleanup,"None","None","[0.0, 0.1]"
X7S-Abs,robocasakitchen-62-5,OfficeCupCleanup,"None","None","[0.0, 0.1]"
X7S-Abs,robocasakitchen-62-5,OfficeKeyboardCleanup,"None","None","[0.0, 0.0]"
X7S-Abs,robocasakitchen-62-5,PrepareForMeeting,"None","None","[0.0, 0.2]"
